epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,4020.72,0.70393,0.36716,0.87375,0.93838,0.59771,0.64316,0.43223,0.90134,0.40825,0.967,0.00125442,0.00125442,0.00125442
102,4060.11,0.69329,0.36648,0.8688,0.93435,0.60175,0.64561,0.46175,0.87046,0.39661,0.94991,0.00125029,0.00125029,0.00125029
103,4099.38,0.69131,0.36355,0.8656,0.83152,0.59906,0.64229,0.44782,0.8875,0.40182,0.94761,0.00124617,0.00124617,0.00124617
104,4138.52,0.67293,0.35235,0.8638,0.95793,0.63342,0.66252,0.44352,0.8785,0.38714,0.94556,0.00124204,0.00124204,0.00124204
105,4177.36,0.67166,0.35346,0.86558,0.97123,0.59771,0.63889,0.45847,0.88241,0.3825,0.94932,0.00123791,0.00123791,0.00123791
106,4216.45,0.66561,0.35415,0.86793,0.73812,0.59906,0.60102,0.45995,0.8884,0.40497,0.9435,0.00123379,0.00123379,0.00123379
107,4255.39,0.7061,0.37273,0.87756,0.96241,0.59367,0.6158,0.45403,0.91084,0.39487,0.96576,0.00122966,0.00122966,0.00122966
108,4294.5,0.72559,0.37903,0.87145,0.89283,0.59771,0.61323,0.43607,0.90058,0.40816,0.94855,0.00122554,0.00122554,0.00122554
109,4335.21,0.69316,0.3656,0.8712,0.72987,0.63612,0.67952,0.46006,0.88851,0.39447,0.94417,0.00122141,0.00122141,0.00122141
110,4374.18,0.68715,0.36267,0.86697,0.9689,0.56334,0.60258,0.43937,0.89272,0.40428,0.94179,0.00121729,0.00121729,0.00121729
111,4413.18,0.67335,0.35743,0.86341,0.97892,0.59561,0.64695,0.46643,0.87514,0.39182,0.94796,0.00121316,0.00121316,0.00121316
112,4452.19,0.69035,0.36402,0.87024,0.76806,0.63477,0.65762,0.4566,0.90224,0.39687,0.95475,0.00120903,0.00120903,0.00120903
113,4491.46,0.68082,0.35849,0.85981,0.77968,0.67049,0.66074,0.46626,0.86625,0.3834,0.94843,0.00120491,0.00120491,0.00120491
114,4530.84,0.67566,0.35317,0.87097,0.98008,0.59636,0.62595,0.44606,0.92087,0.41168,0.95681,0.00120078,0.00120078,0.00120078
115,4570.12,0.71898,0.36695,0.87006,0.98124,0.59636,0.63005,0.46927,0.86573,0.40105,0.94094,0.00119666,0.00119666,0.00119666
116,4609.37,0.69367,0.36726,0.86459,0.97782,0.59367,0.64269,0.48048,0.8534,0.3845,0.94879,0.00119253,0.00119253,0.00119253
117,4650.75,0.66393,0.35623,0.85848,0.98387,0.59501,0.63679,0.46808,0.86191,0.37504,0.94832,0.0011884,0.0011884,0.0011884
118,4690.03,0.63573,0.33888,0.8532,0.98554,0.59771,0.64232,0.45331,0.8691,0.38528,0.9495,0.00118428,0.00118428,0.00118428
119,4729.38,0.63574,0.34135,0.85145,0.98524,0.59457,0.62706,0.434,0.86789,0.38423,0.93857,0.00118015,0.00118015,0.00118015
120,4768.77,0.65937,0.34824,0.86155,0.97089,0.59771,0.62208,0.43388,0.86293,0.38607,0.94124,0.00117603,0.00117603,0.00117603
121,4808.12,0.64063,0.34626,0.85851,0.9714,0.59636,0.61925,0.42109,0.90206,0.39935,0.94968,0.0011719,0.0011719,0.0011719
122,4847.54,0.69757,0.3603,0.8664,0.86525,0.63477,0.67562,0.46116,0.87296,0.38499,0.95107,0.00116778,0.00116778,0.00116778
123,4886.57,0.7074,0.36879,0.86326,0.79126,0.63459,0.64984,0.45426,0.88163,0.40354,0.94878,0.00116365,0.00116365,0.00116365
124,4925.61,0.6782,0.36291,0.86367,0.96283,0.59953,0.6402,0.44932,0.88134,0.39249,0.94404,0.00115952,0.00115952,0.00115952
125,4966.95,0.65817,0.34769,0.86143,0.86381,0.63342,0.66915,0.46844,0.86898,0.38888,0.94065,0.0011554,0.0011554,0.0011554
126,5006.15,0.6472,0.33911,0.85825,0.7724,0.67049,0.67148,0.46291,0.88685,0.39135,0.94405,0.00115127,0.00115127,0.00115127
